,companyName,country,prefix,streetAddress1,streetAddress2
0,"Shenzhen ViewAt Technology Co.,Ltd. ",CN,E043DB,,
1,Integrated Device Technology (Malaysia) Sdn. Bhd.,MY,2405F5,,
2,NETGEAR,US,2C3033,,
3,Hewlett Packard,US,3CD92B,,
4,Hewlett Packard,US,9C8E99,,
5,Hewlett Packard,US,B499BA,,
6,Hewlett Packard,US,1CC1DE,,
7,Cognitec Systems GmbH,DE,3C3556,,
8,D-Link Corporation,TW,0050BA,,
9,D-Link Corporation,TW,00179A,,
10,D-Link International,SG,1CBDB9,,
11,D-Link International,SG,9094E4,,
12,D-Link International,SG,28107B,,
13,D-Link International,SG,1C7EE5,,
14,D-Link International,SG,C4A81D,,
15,Sagemcom Broadband SAS,FR,18622C,,
16,"Shenzhen ViewAt Technology Co.,Ltd. ",CN,E043DB,"9A,Microprofit,6th Gaoxin South Road, High-Tech Industrial Park, Nanshan, Shenzhen, CHINA.",shenzhen  guangdong  518057
17,Integrated Device Technology (Malaysia) Sdn. Bhd.,MY,2405F5,"Phase 3, Bayan Lepas FIZ",Bayan Lepas  Penang  11900
18,NETGEAR,US,2C3033,350 East Plumeria Drive,San Jose  null  95134
19,Hewlett Packard,US,3CD92B,11445 Compaq Center Drive,Houston    77070
20,Hewlett Packard,US,9C8E99,11445 Compaq Center Drive,Houston    77070
21,Hewlett Packard,US,B499BA,11445 Compaq Center Drive,Houston    77070
22,Hewlett Packard,US,1CC1DE,11445 Compaq Center Drive,Houston    77070
23,Cognitec Systems GmbH,DE,3C3556,Großenhainer Str. 101,Dresden  Saxony  01127
24,D-Link Corporation,TW,0050BA,"2F, NO. 233L-2, PAO-CHIAO RD.",TAIPEI    0000
25,D-Link Corporation,TW,00179A,"No. 289, Sinhu 3rd Rd., Neihu District,",Taipei    114
26,D-Link International,SG,1CBDB9,"1 INTERNATIONAL  BUSINESS  PARK,",SINGAPORE    609917
27,D-Link International,SG,9094E4,"1 International Business Park, #03-12, The Synergy ",SINGAPORE    609917
28,D-Link International,SG,28107B,"1 International Business Park, #03-12, The Synergy ",SINGAPORE    609917
29,D-Link International,SG,1C7EE5,"1 International Business Park, #03-12, The Synergy ",SINGAPORE    609917
30,D-Link International,SG,C4A81D,"1 Internal Business Park, #03-12,",SINGAPORE  Singapore  609917
31,Sagemcom Broadband SAS,FR,18622C,250 route de l'Empereur,RUEIL MALMAISON CEDEX  Hauts de Seine  92848
32,Sagemcom Broadband SAS,FR,7C03D8,250 route de l'Empereur,RUEIL MALMAISON CEDEX  Hauts de Seine  92848
33,Sagemcom Broadband SAS,FR,E8F1B0,250 route de l'Empereur,RUEIL MALMAISON CEDEX  Hauts de Seine  92848
34,DGS Denmark A/S,DK,00F871,Kongebakken 9,Smørum    2765
35,COL GIOVANNI PAOLO SpA,IT,20BB76,Via F.lli Ceirano n. 20,Moncalieri  TORINO  10024
36,CTR SRL,IT,2C228B,Via Lario 33,Cantù  Cantù (CO)  22063
37,Sagemcom Broadband SAS,FR,348AAE,250 route de l'Empereur,RUEIL MALMAISON CEDEX  Hauts de Seine  92848
38,"SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD",CN,BCEC23,"Unit A13-16/F,Skyworth Bldg., Gaoxin Ave.1.S.,Nanshan District,Shenzhen,China",ShenZhen  GuangDong  518057
39,ServerNet S.r.l.,IT,AC06C7,Località Padriciano 99,Trieste  Trieste  34149
40,"Cisco Systems, Inc",US,CC46D6,80 West Tasman Drive,San Jose  CA  94568
41,"HUAWEI TECHNOLOGIES CO.,LTD",CN,48AD08,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808
42,"HUAWEI TECHNOLOGIES CO.,LTD",CN,2CAB00,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808
43,"HUAWEI TECHNOLOGIES CO.,LTD",CN,00E0FC,"KEFA ROAD, SCIENCE-BASED INDUSTRIAL PARK",SHENZHEN 518057    12345
44,"HUAWEI TECHNOLOGIES CO.,LTD",CN,24DF6A,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan  Guangdong  523808 
45,"HUAWEI TECHNOLOGIES CO.,LTD",CN,009ACD,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan  Guangdong  523808 
46,"Apple, Inc.",US,00CDFE,1 Infinite Loop,Cupertino  CA  95014
47,Microsoft Mobile Oy,FI,38F23E,Keilalahdentie 4,Espoo    02150
48,"Cisco Systems, Inc",US,58AC78,80 West Tasman Dr.,San Jose  CA  94568
49,"Chicony Electronics Co., Ltd.",TW,907F61,"No.25, Wu-Gong 6th Rd., Wu Ku Industrial Park,","New Taipei City,    248"
50,SourcingOverseas Co. Ltd,TW,28BC18,"2F., No.616, Sec.5, Zhongshan N. Rd., Shilin Dist.,",Taipei City    111
51,HTC Corporation,TW,807ABF,"No. 23, Xinghua Rd., Taoyuan City",Taoyuan County  Taiwan  330
52,Jide Technology (Hong Kong) Limited,CN,409F87,"jiahua Mansion 3F, 133 North 4th Ring Road East, Chaoyang District",Beijing    100101
53,"Google, Inc.",US,3C5AB4,1600 Amphitheatre Parkway,Mountain View    94043
54,"Google, Inc.",US,001A11,1600 Amphitheater Parkway,Mountain View  CA  94043
55,Shenzhen TINNO Mobile Technology Corp.,CN,D83C69,"4/F.,H-3 Building,OCT Eastern lndustrial Park. NO.1 XiangShan East Road",SHENZHEN  GUANGDONG  518053
56,"Qiku Internet Network Scientific (Shenzhen) Co., Ltd.",CN,74AC5F,"Cyber Harbor, 2nd Mengxi Road, Hi-Tech Industrial Park (North), NanShan District",ShenZhen  GuangDong  518000
57,"Apple, Inc.",US,18AF61,1 Infinite Loop,Cupertino  CA  95014
58,"SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD",CN,BC83A7,"Unit A 13-16/F,Skyworth Bldg., Gaoxin Ave.1.S.,Nanshan District",Shenzhen  GuangDong   518057
59,Intel Corporation,US,000347,M/S:  JF3-420,Hillsboro  OR  97124
60,Intel Corporation,US,001175, 5200 NE ELAM YOUNG PARKWAY,HIllsboro  OR  97124
61,Intel Corporate,MY,0013E8,"Lot 8, Jalan Hi-tech 2/3",Kulim  Kedah  09000
