,Unnamed: 0,companyName,country,prefix,streetAddress1,streetAddress2
0,0,"Shenzhen ViewAt Technology Co.,Ltd. ",CN,e0:43:db,,
1,1,Integrated Device Technology (Malaysia) Sdn. Bhd.,MY,24:05:f5,,
2,2,NETGEAR,US,2c:30:33,,
3,3,Hewlett Packard,US,3c:d9:2b,,
4,4,Hewlett Packard,US,9c:8e:99,,
5,5,Hewlett Packard,US,b4:99:ba,,
6,6,Hewlett Packard,US,1c:c1:de,,
7,7,Cognitec Systems GmbH,DE,3c:35:56,,
8,8,D-Link Corporation,TW,00:50:ba,,
9,9,D-Link Corporation,TW,00:17:9a,,
10,10,D-Link International,SG,1c:bd:b9,,
11,11,D-Link International,SG,90:94:e4,,
12,12,D-Link International,SG,28:10:7b,,
13,13,D-Link International,SG,1c:7e:e5,,
14,14,D-Link International,SG,c4:a8:1d,,
15,15,Sagemcom Broadband SAS,FR,18:62:2c,,
16,16,"Shenzhen ViewAt Technology Co.,Ltd. ",CN,e0:43:db,"9A,Microprofit,6th Gaoxin South Road, High-Tech Industrial Park, Nanshan, Shenzhen, CHINA.",shenzhen  guangdong  518057
17,17,Integrated Device Technology (Malaysia) Sdn. Bhd.,MY,24:05:f5,"Phase 3, Bayan Lepas FIZ",Bayan Lepas  Penang  11900
18,18,NETGEAR,US,2c:30:33,350 East Plumeria Drive,San Jose  null  95134
19,19,Hewlett Packard,US,3c:d9:2b,11445 Compaq Center Drive,Houston    77070
20,20,Hewlett Packard,US,9c:8e:99,11445 Compaq Center Drive,Houston    77070
21,21,Hewlett Packard,US,b4:99:ba,11445 Compaq Center Drive,Houston    77070
22,22,Hewlett Packard,US,1c:c1:de,11445 Compaq Center Drive,Houston    77070
23,23,Cognitec Systems GmbH,DE,3c:35:56,Großenhainer Str. 101,Dresden  Saxony  01127
24,24,D-Link Corporation,TW,00:50:ba,"2F, NO. 233L-2, PAO-CHIAO RD.",TAIPEI    0000
25,25,D-Link Corporation,TW,00:17:9a,"No. 289, Sinhu 3rd Rd., Neihu District,",Taipei    114
26,26,D-Link International,SG,1c:bd:b9,"1 INTERNATIONAL  BUSINESS  PARK,",SINGAPORE    609917
27,27,D-Link International,SG,90:94:e4,"1 International Business Park, #03-12, The Synergy ",SINGAPORE    609917
28,28,D-Link International,SG,28:10:7b,"1 International Business Park, #03-12, The Synergy ",SINGAPORE    609917
29,29,D-Link International,SG,1c:7e:e5,"1 International Business Park, #03-12, The Synergy ",SINGAPORE    609917
30,30,D-Link International,SG,c4:a8:1d,"1 Internal Business Park, #03-12,",SINGAPORE  Singapore  609917
31,31,Sagemcom Broadband SAS,FR,18:62:2c,250 route de l'Empereur,RUEIL MALMAISON CEDEX  Hauts de Seine  92848
32,32,Sagemcom Broadband SAS,FR,7c:03:d8,250 route de l'Empereur,RUEIL MALMAISON CEDEX  Hauts de Seine  92848
33,33,Sagemcom Broadband SAS,FR,e8:f1:b0,250 route de l'Empereur,RUEIL MALMAISON CEDEX  Hauts de Seine  92848
34,34,DGS Denmark A/S,DK,00:f8:71,Kongebakken 9,Smørum    2765
35,35,COL GIOVANNI PAOLO SpA,IT,20:bb:76,Via F.lli Ceirano n. 20,Moncalieri  TORINO  10024
36,36,CTR SRL,IT,2c:22:8b,Via Lario 33,Cantù  Cantù (CO)  22063
37,37,Sagemcom Broadband SAS,FR,34:8a:ae,250 route de l'Empereur,RUEIL MALMAISON CEDEX  Hauts de Seine  92848
38,38,"SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD",CN,bc:ec:23,"Unit A13-16/F,Skyworth Bldg., Gaoxin Ave.1.S.,Nanshan District,Shenzhen,China",ShenZhen  GuangDong  518057
39,39,ServerNet S.r.l.,IT,ac:06:c7,Località Padriciano 99,Trieste  Trieste  34149
40,40,"Cisco Systems, Inc",US,cc:46:d6,80 West Tasman Drive,San Jose  CA  94568
41,41,"HUAWEI TECHNOLOGIES CO.,LTD",CN,48:ad:08,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808
42,42,"HUAWEI TECHNOLOGIES CO.,LTD",CN,2c:ab:00,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808
43,43,"HUAWEI TECHNOLOGIES CO.,LTD",CN,00:e0:fc,"KEFA ROAD, SCIENCE-BASED INDUSTRIAL PARK",SHENZHEN 518057    12345
44,44,"HUAWEI TECHNOLOGIES CO.,LTD",CN,24:df:6a,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan  Guangdong  523808 
45,45,"HUAWEI TECHNOLOGIES CO.,LTD",CN,00:9a:cd,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan  Guangdong  523808 
46,46,"Apple, Inc.",US,00:cd:fe,1 Infinite Loop,Cupertino  CA  95014
47,47,Microsoft Mobile Oy,FI,38:f2:3e,Keilalahdentie 4,Espoo    02150
48,48,"Cisco Systems, Inc",US,58:ac:78,80 West Tasman Dr.,San Jose  CA  94568
49,49,"Chicony Electronics Co., Ltd.",TW,90:7f:61,"No.25, Wu-Gong 6th Rd., Wu Ku Industrial Park,","New Taipei City,    248"
50,50,SourcingOverseas Co. Ltd,TW,28:bc:18,"2F., No.616, Sec.5, Zhongshan N. Rd., Shilin Dist.,",Taipei City    111
51,51,HTC Corporation,TW,80:7a:bf,"No. 23, Xinghua Rd., Taoyuan City",Taoyuan County  Taiwan  330
52,52,Jide Technology (Hong Kong) Limited,CN,40:9f:87,"jiahua Mansion 3F, 133 North 4th Ring Road East, Chaoyang District",Beijing    100101
53,53,"Google, Inc.",US,3c:5a:b4,1600 Amphitheatre Parkway,Mountain View    94043
54,54,"Google, Inc.",US,00:1a:11,1600 Amphitheater Parkway,Mountain View  CA  94043
55,55,Shenzhen TINNO Mobile Technology Corp.,CN,d8:3c:69,"4/F.,H-3 Building,OCT Eastern lndustrial Park. NO.1 XiangShan East Road",SHENZHEN  GUANGDONG  518053
56,56,"Qiku Internet Network Scientific (Shenzhen) Co., Ltd.",CN,74:ac:5f,"Cyber Harbor, 2nd Mengxi Road, Hi-Tech Industrial Park (North), NanShan District",ShenZhen  GuangDong  518000
57,57,"Apple, Inc.",US,18:af:61,1 Infinite Loop,Cupertino  CA  95014
58,58,"SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD",CN,bc:83:a7,"Unit A 13-16/F,Skyworth Bldg., Gaoxin Ave.1.S.,Nanshan District",Shenzhen  GuangDong   518057
59,59,Intel Corporation,US,00:03:47,M/S:  JF3-420,Hillsboro  OR  97124
60,60,Intel Corporation,US,00:11:75, 5200 NE ELAM YOUNG PARKWAY,HIllsboro  OR  97124
61,61,Intel Corporate,MY,00:13:e8,"Lot 8, Jalan Hi-tech 2/3",Kulim  Kedah  09000
62,62,Intel Corporate,MY,00:13:02,"Lot 8, Jalan Hi-tech 2/3",Kulim  Kedah  09000
63,63,Intel Corporate,MY,e4:f8:9c,"Lot 8, Jalan Hi-Tech 2/3",Kulim  Kedah  09000
64,64,Intel Corporate,MY,a4:02:b9,"Lot 8, Jalan Hi-Tech 2/3",Kulim  Kedah  09000
65,65,"Shenzhen ViewAt Technology Co.,Ltd. ",CN,e0:43:db,"9A,Microprofit,6th Gaoxin South Road, High-Tech Industrial Park, Nanshan, Shenzhen, CHINA.",shenzhen  guangdong  518057
66,66,Integrated Device Technology (Malaysia) Sdn. Bhd.,MY,24:05:f5,"Phase 3, Bayan Lepas FIZ",Bayan Lepas  Penang  11900
67,67,NETGEAR,US,2c:30:33,350 East Plumeria Drive,San Jose  null  95134
68,68,Hewlett Packard,US,3c:d9:2b,11445 Compaq Center Drive,Houston    77070
69,69,Hewlett Packard,US,9c:8e:99,11445 Compaq Center Drive,Houston    77070
70,70,Hewlett Packard,US,b4:99:ba,11445 Compaq Center Drive,Houston    77070
71,71,Hewlett Packard,US,1c:c1:de,11445 Compaq Center Drive,Houston    77070
72,72,Cognitec Systems GmbH,DE,3c:35:56,Großenhainer Str. 101,Dresden  Saxony  01127
73,73,D-Link Corporation,TW,00:50:ba,"2F, NO. 233L-2, PAO-CHIAO RD.",TAIPEI    0000
74,74,D-Link Corporation,TW,00:17:9a,"No. 289, Sinhu 3rd Rd., Neihu District,",Taipei    114
75,75,D-Link International,SG,1c:bd:b9,"1 INTERNATIONAL  BUSINESS  PARK,",SINGAPORE    609917
76,76,D-Link International,SG,90:94:e4,"1 International Business Park, #03-12, The Synergy ",SINGAPORE    609917
77,77,D-Link International,SG,28:10:7b,"1 International Business Park, #03-12, The Synergy ",SINGAPORE    609917
78,78,D-Link International,SG,1c:7e:e5,"1 International Business Park, #03-12, The Synergy ",SINGAPORE    609917
79,79,D-Link International,SG,c4:a8:1d,"1 Internal Business Park, #03-12,",SINGAPORE  Singapore  609917
80,80,Sagemcom Broadband SAS,FR,18:62:2c,250 route de l'Empereur,RUEIL MALMAISON CEDEX  Hauts de Seine  92848
81,81,Sagemcom Broadband SAS,FR,7c:03:d8,250 route de l'Empereur,RUEIL MALMAISON CEDEX  Hauts de Seine  92848
82,82,Sagemcom Broadband SAS,FR,e8:f1:b0,250 route de l'Empereur,RUEIL MALMAISON CEDEX  Hauts de Seine  92848
83,83,DGS Denmark A/S,DK,00:f8:71,Kongebakken 9,Smørum    2765
84,84,COL GIOVANNI PAOLO SpA,IT,20:bb:76,Via F.lli Ceirano n. 20,Moncalieri  TORINO  10024
85,85,CTR SRL,IT,2c:22:8b,Via Lario 33,Cantù  Cantù (CO)  22063
86,86,Sagemcom Broadband SAS,FR,34:8a:ae,250 route de l'Empereur,RUEIL MALMAISON CEDEX  Hauts de Seine  92848
87,87,"SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD",CN,bc:ec:23,"Unit A13-16/F,Skyworth Bldg., Gaoxin Ave.1.S.,Nanshan District,Shenzhen,China",ShenZhen  GuangDong  518057
88,88,ServerNet S.r.l.,IT,ac:06:c7,Località Padriciano 99,Trieste  Trieste  34149
89,89,"Cisco Systems, Inc",US,cc:46:d6,80 West Tasman Drive,San Jose  CA  94568
90,90,"HUAWEI TECHNOLOGIES CO.,LTD",CN,48:ad:08,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808
91,91,"HUAWEI TECHNOLOGIES CO.,LTD",CN,2c:ab:00,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808
92,92,"HUAWEI TECHNOLOGIES CO.,LTD",CN,00:e0:fc,"KEFA ROAD, SCIENCE-BASED INDUSTRIAL PARK",SHENZHEN 518057    12345
93,93,"HUAWEI TECHNOLOGIES CO.,LTD",CN,24:df:6a,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan  Guangdong  523808 
94,94,"HUAWEI TECHNOLOGIES CO.,LTD",CN,00:9a:cd,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan  Guangdong  523808 
