"No.","Time","Source","Destination","Length","Signal strength (dBm)","Frame Number","Frequency","Sequence number","SSID","Supported Rates","Extended Supported Rates","HT Capabilities Info","A-MPDU Parameters","HT Extended Capabilities","Tag Number","Rx Modulation and Coding Scheme (One bit per modulation)","Antenna Selection (ASEL) Capabilities (VS)","Transmit Beam Forming (TxBF) Capabilities (VS)"
"77","2017-07-02 16:21:30.244238262","HuaweiTe_fd:87:ce","Broadcast","279","-83","77","2442","3380","","1,2,5.5,11,6,9,12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"115","2017-07-02 16:21:30.609545574","HuaweiTe_fd:87:ce","Broadcast","279","-86","115","2472","3386","","1,2,5.5,11,6,9,12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"264","2017-07-02 16:21:45.796219906","HuaweiTe_fd:87:ce","Broadcast","279","-84","264","2422","3388","","1,2,5.5,11,6,9,12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"265","2017-07-02 16:21:45.857053649","HuaweiTe_fd:87:ce","Broadcast","279","-82","265","2422","3389","","1,2,5.5,11,6,9,12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"266","2017-07-02 16:21:45.917936686","HuaweiTe_fd:87:ce","Broadcast","279","-86","266","2422","3390","","1,2,5.5,11,6,9,12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"269","2017-07-02 16:21:46.222416628","HuaweiTe_fd:87:ce","Broadcast","279","-87","269","2452","3395","","1,2,5.5,11,6,9,12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"271","2017-07-02 16:21:46.283274254","HuaweiTe_fd:87:ce","Broadcast","279","-85","271","2452","3396","","1,2,5.5,11,6,9,12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"272","2017-07-02 16:21:46.683106028","HuaweiTe_fd:87:ce","Broadcast","295","-85","272","2427","3404","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"273","2017-07-02 16:21:46.685369345","HuaweiTe_fd:87:ce","Broadcast","279","-83","273","2427","3405","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"275","2017-07-02 16:21:47.231260686","HuaweiTe_fd:87:ce","AdbBroad_94:c2:53","295","-80","275","2462","3422","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"309","2017-07-02 16:21:47.327476122","HuaweiTe_fd:87:ce","Broadcast","295","-80","309","2462","3428","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"310","2017-07-02 16:21:47.331251442","HuaweiTe_fd:87:ce","Broadcast","279","-82","310","2462","3429","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"318","2017-07-02 16:21:47.638708232","HuaweiTe_fd:87:ce","Broadcast","295","-82","318","2437","3439","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
"319","2017-07-02 16:21:47.640862765","HuaweiTe_fd:87:ce","Broadcast","279","-83","319","2437","3440","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","",""
