"No.","Time","Source","Destination","Signal strength (dBm)","Frequency","Sequence number","SSID","Supported Rates","Extended Supported Rates","HT Capabilities Info","A-MPDU Parameters","HT Extended Capabilities","Tag Number","Rx Modulation and Coding Scheme (One bit per modulation)","Antenna Selection (ASEL) Capabilities (VS)","Transmit Beam Forming (TxBF) Capabilities (VS)","Frequency","Channel","UUID Enrollee","Primary Device Type","Model Name","Model Number","Device Name","Vendor Extension","Vendor ID","OUI"
"77","2017-07-02 16:21:30.244238262","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-83","2442","3380","","1,2,5.5,11,6,9,12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2442","7","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"115","2017-07-02 16:21:30.609545574","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-86","2472","3386","","1,2,5.5,11,6,9,12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2472","13","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"264","2017-07-02 16:21:45.796219906","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-84","2422","3388","","1,2,5.5,11,6,9,12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2422","3","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"265","2017-07-02 16:21:45.857053649","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-82","2422","3389","","1,2,5.5,11,6,9,12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2422","3","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"266","2017-07-02 16:21:45.917936686","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-86","2422","3390","","1,2,5.5,11,6,9,12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2422","3","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"269","2017-07-02 16:21:46.222416628","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-87","2452","3395","","1,2,5.5,11,6,9,12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2452","9","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"271","2017-07-02 16:21:46.283274254","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-85","2452","3396","","1,2,5.5,11,6,9,12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2452","9","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"272","2017-07-02 16:21:46.683106028","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-85","2427","3404","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2427","4","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"273","2017-07-02 16:21:46.685369345","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-83","2427","3405","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2427","4","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"275","2017-07-02 16:21:47.231260686","ec:23:3d:fd:87:ce","30:39:f2:94:c2:53","-80","2462","3422","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2462","11","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"309","2017-07-02 16:21:47.327476122","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-80","2462","3428","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2462","11","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"310","2017-07-02 16:21:47.331251442","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-82","2462","3429","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2462","11","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"318","2017-07-02 16:21:47.638708232","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-82","2437","3439","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2437","6","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"319","2017-07-02 16:21:47.640862765","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-83","2437","3440","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2437","6","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"368","2017-07-02 16:21:53.074304748","00:19:fb:69:2b:aa","ff:ff:ff:ff:ff:ff","-91","2422","1174","","1(B),2(B),5.5(B),11(B),9,18,36,54","6,12,24,48","0x11ee","0x13","0x0c00","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10)","","","","2422","3","","","","","","","",""
"409","2017-07-02 16:21:58.185386130","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-89","2462","3475","Telecom-43303501","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2462","11","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"410","2017-07-02 16:21:58.189176673","ec:23:3d:fd:87:ce","ff:ff:ff:ff:ff:ff","-87","2462","3476","","1(B),2(B),5.5(B),6,9,11(B),12,18","24,36,48,54","0x002c","0x01","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","","","","2462","11","7717ce9780d4551ba525454b39ff868b","000a0050f2040005","HUAWEI Y300-0100","HUAWEI Y300-0100","Y300-0100","00372a000120","14122","00-50-f2,50-6f-9a"
"414","2017-07-02 16:21:58.346723159","10:30:47:ce:74:61","ff:ff:ff:ff:ff:ff","-85","2437","364","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","","","2437","6","","","","","","","","00-50-f2"
