"No.","Time","Source","Signal strength (dBm)","Sequence number","SSID","Supported Rates","Extended Supported Rates","HT Capabilities Info","A-MPDU Parameters","HT Extended Capabilities","Tag Number","Transmit Beam Forming (TxBF) Capabilities (VS)","Channel","UUID Enrollee","Primary Device Type","Model Name","Model Number","Device Name","Vendor Extension","Vendor ID","OUI"
"3","2017-07-12 12:21:04.643966109","98:9e:63:51:e5:d8","-92","1911","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x0021","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Interworking,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","00-17-f2,00-50-f2,00-10-18"
"728","2017-07-12 12:21:12.642847667","84:2e:27:fb:22:a3","-88","3487","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"732","2017-07-12 12:21:12.672652811","84:2e:27:fb:22:a3","-95","3488","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x012c","0x03","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Vendor Specific","","1","","","","","","","","00-50-f2"
"797","2017-07-12 12:21:13.436520417","d0:23:db:d0:ec:88","-89","2989","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x1800","0x1b","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,HT Capabilities (802.11n D1.10),Vendor Specific,Vendor Specific","0x00000000","1","","","","","","","","00-10-18,00-90-4c"
"1107","2017-07-12 12:21:16.989734405","40:0e:85:35:d1:db","-71","2781","Papilio","1,2,5.5,11","6,9,12,18,24,36,48,54","0x102d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","0x00000000","1","","","","","","","","50-6f-9a,00-10-18,00-90-4c,00-90-4c,00-50-f2"
"1108","2017-07-12 12:21:16.991209871","40:0e:85:35:d1:db","-70","2782","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x102d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","0x00000000","1","","","","","","","","50-6f-9a,00-10-18,00-90-4c,00-90-4c,00-50-f2"
"1118","2017-07-12 12:21:17.030131359","40:0e:85:35:d1:db","-71","2783","Papilio","1,2,5.5,11","6,9,12,18,24,36,48,54","0x102d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","0x00000000","1","","","","","","","","50-6f-9a,00-10-18,00-90-4c,00-90-4c,00-50-f2"
"1119","2017-07-12 12:21:17.031600093","40:0e:85:35:d1:db","-71","2784","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x102d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","0x00000000","1","","","","","","","","50-6f-9a,00-10-18,00-90-4c,00-90-4c,00-50-f2"
"1139","2017-07-12 12:21:17.071757841","40:0e:85:35:d1:db","-71","2785","Papilio","1,2,5.5,11","6,9,12,18,24,36,48,54","0x102d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","0x00000000","1","","","","","","","","50-6f-9a,00-10-18,00-90-4c,00-90-4c,00-50-f2"
"1140","2017-07-12 12:21:17.073237633","40:0e:85:35:d1:db","-71","2786","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x102d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","0x00000000","1","","","","","","","","50-6f-9a,00-10-18,00-90-4c,00-90-4c,00-50-f2"
"1148","2017-07-12 12:21:17.112269588","40:0e:85:35:d1:db","-71","2787","Papilio","1,2,5.5,11","6,9,12,18,24,36,48,54","0x102d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","0x00000000","1","","","","","","","","50-6f-9a,00-10-18,00-90-4c,00-90-4c,00-50-f2"
"1149","2017-07-12 12:21:17.113815927","40:0e:85:35:d1:db","-70","2788","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x102d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","0x00000000","1","","","","","","","","50-6f-9a,00-10-18,00-90-4c,00-90-4c,00-50-f2"
"1161","2017-07-12 12:21:17.154382878","40:0e:85:35:d1:db","-78","2789","Papilio","1,2,5.5,11","6,9,12,18,24,36,48,54","0x102d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","0x00000000","1","","","","","","","","50-6f-9a,00-10-18,00-90-4c,00-90-4c,00-50-f2"
"1162","2017-07-12 12:21:17.155936592","40:0e:85:35:d1:db","-77","2790","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x102d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","0x00000000","1","","","","","","","","50-6f-9a,00-10-18,00-90-4c,00-90-4c,00-50-f2"
"1168","2017-07-12 12:21:17.194946938","40:0e:85:35:d1:db","-78","2791","Papilio","1,2,5.5,11","6,9,12,18,24,36,48,54","0x102d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","0x00000000","1","","","","","","","","50-6f-9a,00-10-18,00-90-4c,00-90-4c,00-50-f2"
"1169","2017-07-12 12:21:17.196551192","40:0e:85:35:d1:db","-78","2792","","1,2,5.5,11","6,9,12,18,24,36,48,54","0x102d","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Interworking,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific,Vendor Specific","0x00000000","1","","","","","","","","50-6f-9a,00-10-18,00-90-4c,00-90-4c,00-50-f2"
"1919","2017-07-12 12:21:25.104607877","98:9e:63:51:e5:d8","-66","1998","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x0021","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Interworking,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","00-17-f2,00-50-f2,00-10-18"
"1931","2017-07-12 12:21:25.126656378","98:9e:63:51:e5:d8","-71","2000","eduroam","1,2,5.5,11","6,9,12,18,24,36,48,54","0x0021","0x17","0x0000","SSID parameter set,Supported Rates,Extended Supported Rates,DS Parameter set,HT Capabilities (802.11n D1.10),Extended Capabilities,Interworking,Vendor Specific,Vendor Specific,Vendor Specific","","1","","","","","","","","00-17-f2,00-50-f2,00-10-18"
"2282","2017-07-12 12:21:28.917804899","00:25:d3:84:72:27","-98","1524","","1(B),2(B),5.5(B),11(B),6,9,12,18","24,36,48,54","","","","SSID parameter set,Supported Rates,Extended Supported Rates","","1","","","","","","","",""
